,Day,sigma_p,sigma_n
640,2020-04-25,-1.0,-1.0
641,2020-04-26,-1.0,-1.0
642,2020-04-27,-1.0,-1.0
643,2020-04-28,-1.0,-1.0
644,2020-04-29,-1.0,-1.0
645,2020-04-30,-1.0,-1.0
646,2020-05-01,-1.0,-1.0
647,2020-05-02,-1.0,-1.0
648,2020-05-03,-1.0,-1.0
649,2020-05-04,-1.0,-1.0
650,2020-05-05,-1.0,-1.0
651,2020-05-06,-1.0,-1.0
652,2020-05-07,-1.0,-1.0
653,2020-05-08,-1.0,-1.0
654,2020-05-09,-1.0,-1.0
655,2020-05-10,-1.0,-1.0
656,2020-05-11,-1.0,-1.0
657,2020-05-12,-1.0,-1.0
658,2020-05-13,-1.0,-1.0
659,2020-05-14,-1.0,-1.0
660,2020-05-15,-1.0,-1.0
661,2020-05-16,-1.0,-1.0
662,2020-05-17,-1.0,-1.0
663,2020-05-18,-1.0,-1.0
664,2020-05-19,-1.0,-1.0
665,2020-05-20,-1.0,-1.0
666,2020-05-21,-1.0,-1.0
667,2020-05-22,-1.0,-1.0
668,2020-05-23,-1.0,-1.0
669,2020-05-24,-1.0,-1.0
670,2020-05-25,-1.0,-1.0
671,2020-05-26,-1.0,-1.0
672,2020-05-27,-1.0,-1.0
673,2020-05-28,-1.0,-1.0
674,2020-05-29,-1.0,-1.0
675,2020-05-30,-1.0,-1.0
676,2020-05-31,-1.0,-1.0
677,2020-06-01,-1.0,-1.0
678,2020-06-02,-1.0,-1.0
679,2020-06-03,-1.0,-1.0
680,2020-06-04,-1.0,-1.0
681,2020-06-05,-1.0,-1.0
682,2020-06-06,-1.0,-1.0
683,2020-06-07,-1.0,-1.0
684,2020-06-08,-1.0,-1.0
685,2020-06-09,-1.0,-1.0
686,2020-06-10,-1.0,-1.0
687,2020-06-11,-1.0,-1.0
688,2020-06-12,-1.0,-1.0
689,2020-06-13,-1.0,-1.0
690,2020-06-14,-1.0,-1.0
691,2020-06-15,-1.0,-1.0
692,2020-06-16,-1.0,-1.0
693,2020-06-17,-1.0,-1.0
694,2020-06-18,-1.0,-1.0
695,2020-06-19,-1.0,-1.0
696,2020-06-20,-1.0,-1.0
697,2020-06-21,-1.0,-1.0
698,2020-06-22,-1.0,-1.0
699,2020-06-23,-1.0,-1.0
700,2020-06-24,-1.0,-1.0
701,2020-06-25,-1.0,-1.0
702,2020-06-26,-1.0,-1.0
703,2020-06-27,-1.0,-1.0
704,2020-06-28,-1.0,-1.0
705,2020-06-29,-1.0,-1.0
706,2020-06-30,-1.0,-1.0
707,2020-07-01,-1.0,-1.0
708,2020-07-02,-1.0,-1.0
709,2020-07-03,-1.0,-1.0
710,2020-07-04,-1.0,-1.0
711,2020-07-05,-1.0,-1.0
712,2020-07-06,-1.0,-1.0
713,2020-07-07,-1.0,-1.0
714,2020-07-08,-1.0,-1.0
715,2020-07-09,-1.0,-1.0
716,2020-07-10,-1.0,-1.0
717,2020-07-11,-1.0,-1.0
718,2020-07-12,-1.0,-1.0
719,2020-07-13,-1.0,-1.0
720,2020-07-14,-1.0,-1.0
721,2020-07-15,-1.0,-1.0
722,2020-07-16,-1.0,-1.0
723,2020-07-17,-1.0,-1.0
724,2020-07-18,-1.0,-1.0
725,2020-07-19,-1.0,-1.0
726,2020-07-20,-1.0,-1.0
727,2020-07-21,-1.0,-1.0
728,2020-07-22,-1.0,-1.0
729,2020-07-23,-1.0,-1.0
730,2020-07-24,-1.0,-1.0
731,2020-07-25,-1.0,-1.0
732,2020-07-26,-1.0,-1.0
